"InputLine","Mapped Concept Count","Used lossy mention editor","Mapped Concept Label 1","Mapped Concept Label 2","Mapped Concept Label 3","Mapped Concept URI 1","Mapped Concept URI 2","Mapped Concept URI 3"
"lamina medullaris externa thalami",0,0,,,,,,
"ventriculus quintus",0,0,,,,,,
"tract of burdach",0,0,,,,,,
"nucleus triangularis septi",0,0,,,,,,
"paraventricular hypothalamic nucleus, periventricular part",0,0,,,,,,
"edinger-westphal nucleus of  oculomotor nerve",0,0,,,,,,
"minor root of trigeminal nerve",0,0,,,,,,
"area preoptica",0,0,,,,,,
"area insularis anterior",0,0,,,,,,
"area praesubicularis",0,0,,,,,,
"ponto-medullary junction",0,0,,,,,,
"dorsal nucleus of the spinal cord caudal part",0,0,,,,,,
"crus cerebelli ad medullam oblongatam",0,0,,,,,,
"mediodorsal thalamic nucleus, pars fasciculosa",0,0,,,,,,
"superior part of precentral fissure",0,0,,,,,,
"locus coeruleus",1,0,"Locus ceruleus",,,"http://mouse.brain-map.org/atlas/index.html#LC",,
"infundibulum internal lamina",0,0,,,,,,
"pons behavioral state related",1,0,"Pons, behavioral state related",,,"http://mouse.brain-map.org/atlas/index.html#P-sat",,
"homotypical cortex",1,0,"Isocortex",,,"http://mouse.brain-map.org/atlas/index.html#Isocortex",,
"isthmus of brain",0,0,,,,,,
"field ca2 stratum radiatum",1,0,"Field CA2, stratum radiatum",,,"http://mouse.brain-map.org/atlas/index.html#CA2sr",,
"regio medioradiata",0,0,,,,,,
"parolfactory nuclei",0,0,,,,,,
"raphe cap",0,0,,,,,,
"general somatic afferents",0,0,,,,,,
"prerolandic gyrus",0,0,,,,,,
"comma tract of schultze",0,0,,,,,,
"anterior parolfactory sulcus",0,0,,,,,,
"longitudinal association bundles",0,0,,,,,,
"anterior calcarine fissure",0,0,,,,,,
"corpus bigeminum posterioris",0,0,,,,,,
"regio hypothalamica anterior - not otherwise specified",0,0,,,,,,
"cerebral cortex",1,0,"Cerebral cortex",,,"http://mouse.brain-map.org/atlas/index.html#CTX",,
"intermediate nucleus of preoptic area",0,0,,,,,,
"medial stripe of lancisi",0,0,,,,,,
"primary fissure",0,0,,,,,,
"raphe nuclei of medulla",0,0,,,,,,
"column of burdach",0,0,,,,,,
"inferior olive, ventrolateral protrusion",0,0,,,,,,
"ventral posterolateral nucleus thalamus, principal part",0,0,,,,,,
"tectoreticular tract",0,0,,,,,,
"fibrae arcuatae externae dorsales",0,0,,,,,,
"nuclei ventrales posteriores",0,0,,,,,,
"lateral olfactory stria",0,0,,,,,,
"subparafascicular nucleus",1,0,"Subparafascicular nucleus",,,"http://mouse.brain-map.org/atlas/index.html#SPF",,
"occipitotemporal area 37",0,0,,,,,,
"cingulum ammonale",0,0,,,,,,
"vestibular nerve",0,0,,,,,,
"anteroventral thalamic nucleus, dorsornedial part",0,0,,,,,,
"ansiform lobule crus 1",0,0,,,,,,
"anterior median nucleus of oculomotor nerve",0,0,,,,,,
"tectospinal fibers",0,0,,,,,,
"efferent vestibular nucleus",1,0,"Efferent vestibular nucleus",,,"http://mouse.brain-map.org/atlas/index.html#EV",,
"spino-olivary tract",0,0,,,,,,
"insula terminalis substriatalis",0,0,,,,,,
"suprachiasmatic preoptic nucleus",1,0,"Suprachiasmatic preoptic nucleus",,,"http://mouse.brain-map.org/atlas/index.html#PSCH",,
"sublentiform nucleus",0,0,,,,,,
"septal region",0,0,,,,,,
"mammillothalamic tract of thalamus",0,0,,,,,,
"temporal region",0,0,,,,,,
"posterior inferior sulcus",0,0,,,,,,
"nucleus lateralis medullae oblongatae",0,0,,,,,,
"sublaterodorsal nucleus",1,0,"Sublaterodorsal nucleus",,,"http://mouse.brain-map.org/atlas/index.html#SLD",,
"paracentral sulcus",0,0,,,,,,
"superior colliculus intermediate deep white layer",0,0,,,,,,
"dorsal tegmental decussation",0,0,,,,,,
"cornu occipitale",0,0,,,,,,
"nucleus retro-olivaris",0,0,,,,,,
"cortical nucleus of the amygdala, posteromedial part",0,0,,,,,,
"capsula nuclei subthalamici",0,0,,,,,,
"sulcus paracentralis",0,0,,,,,,
"upper calcarine sulcus",0,0,,,,,,
"stria medularis",0,0,,,,,,
"corpus pineale",1,0,"Pineal body",,,"http://mouse.brain-map.org/atlas/index.html#PIN",,
"brodmann's area 18",0,0,,,,,,
"nuclei intralaminares rostrales",0,0,,,,,,
"polus temporalis",0,0,,,,,,
"bed nucleus of the stria terminalis",0,0,,,,,,
"optic chiasm",0,0,,,,,,
"anterior part of inferior parietal lobule",0,0,,,,,,
"internal granular layer",0,0,,,,,,
"eleventh cranial nerve",0,0,,,,,,
"sulcus frontalis intermedius",0,0,,,,,,
"quadrate lobule",0,0,,,,,,
"cortical relay nuclei",0,0,,,,,,
"tractus olfactorius intermedius",0,0,,,,,,
"mediodorsal nucleus of the thalamus central part",1,0,"Mediodorsal nucleus of the thalamus, central part",,,"http://mouse.brain-map.org/atlas/index.html#MDc",,
"bed nucleus of stria terminalis, fusiform part",0,0,,,,,,
"medulla, behavioral state related",1,0,"Medulla, behavioral state related",,,"http://mouse.brain-map.org/atlas/index.html#MY-sat",,
"anteromedial visual area",1,0,"Anteromedial visual area",,,"http://mouse.brain-map.org/atlas/index.html#VISam",,
"inferior olivary eminence",0,0,,,,,,
"retrocommissural hippocampus",0,0,,,,,,
"area 1 of mauss-08",0,0,,,,,,
"dorsal auditory area",1,0,"Dorsal auditory area",,,"http://mouse.brain-map.org/atlas/index.html#AUDd",,
"calamus scriptorius",0,0,,,,,,
"lumbar segments of spinal cord",0,0,,,,,,
"pars thalamolentiformes",0,0,,,,,,
"crus fornicis",0,0,,,,,,
"nucleus lateralis thalami posterior",1,0,"Lateral posterior nucleus of the thalamus",,,"http://mouse.brain-map.org/atlas/index.html#LP",,
"posterior limb of lateral sulcus",0,0,,,,,,
"systema nervosum, pars peripherica",0,0,,,,,,
"lateral septal nucleus caudal  part",0,0,,,,,,
"anterior peduncle",0,0,,,,,,
"nucleus magnocellularis",0,0,,,,,,
"ventral lateral anterior nucleus",0,0,,,,,,
"pars basolateralis",0,0,,,,,,
"infundibulum external lamina",0,0,,,,,,
"efferent vesstibular nucleus",0,0,,,,,,
"glomerular layer",0,0,,,,,,
"pedunculus thalami superior",0,0,,,,,,
"nucleus nervi oculomotorii, pars dorsalis",0,0,,,,,,
"piriform area, pyramidal layer",1,0,"Piriform area, pyramidal layer",,,"http://mouse.brain-map.org/atlas/index.html#PIR2",,
"nucleus centralis thalami",0,0,,,,,,
"superior parietal lobule",0,0,,,,,,
"taenia fornicis",0,0,,,,,,
"sulcus occipitalis lateralis",0,0,,,,,,
"supracommissural hippocampus",0,0,,,,,,
"inferior brachium",0,0,,,,,,
"basal ganglia",0,0,,,,,,
"radiationes thalamicae centrales",0,0,,,,,,
"intralaminar nuclear group",0,0,,,,,,
"anterior transverse temporal gyrus",0,0,,,,,,
"cerebellothalamic tract",0,0,,,,,,
"parieto-occipital fissure",0,0,,,,,,
"ventral posteroinferior nucleus",0,0,,,,,,
"stratum neurium piriformium",0,0,,,,,,
"telencephalon",0,0,,,,,,
"field ca3",1,0,"Field CA3",,,"http://mouse.brain-map.org/atlas/index.html#CA3",,
"dorsomedial hypothalamic nucleus, compact part",0,0,,,,,,
"type 5 of von economo",0,0,,,,,,
"archicortex",0,0,,,,,,
"cortex piriformis",1,0,"Piriform area",,,"http://mouse.brain-map.org/atlas/index.html#PIR",,
"superior olive - not otherwise specified",0,0,,,,,,
"ventral part of the lateral geniculate complex, medial zone",1,0,"Ventral part of the lateral geniculate complex, medial zone",,,"http://mouse.brain-map.org/atlas/index.html#LGvm",,
"substantia nigra, pars compacta",1,0,"Substantia nigra, compact part",,,"http://mouse.brain-map.org/atlas/index.html#SNc",,
"trigeminocerebellar tract",0,0,,,,,,
"subiculum ventral part",1,0,"Subiculum, ventral part",,,"http://mouse.brain-map.org/atlas/index.html#SUBv",,
"posterior hypothalamic nucleus",1,0,"Posterior hypothalamic nucleus",,,"http://mouse.brain-map.org/atlas/index.html#PH",,
"superior colliculus, intermediate gray layer, sublayer a",0,0,,,,,,
"hypothalamohypophysial tract",0,0,,,,,,
"area 26 of brodmann-09",0,0,,,,,,
"frontomarginal gyrus",0,0,,,,,,
"interpeduncular nucleus",1,0,"Interpeduncular nucleus",,,"http://mouse.brain-map.org/atlas/index.html#IPN",,
"preoptic recess",0,0,,,,,,
"fusiform white matter",0,0,,,,,,
"cortical areas of brodmann",0,0,,,,,,
"lateral septal nucleus",1,0,"Lateral septal nucleus",,,"http://mouse.brain-map.org/atlas/index.html#LS",,
"stria diagonalis",0,0,,,,,,
"interposed cerebellar nucleus, dorsolateral hump",0,0,,,,,,
"regio subfrontalis",0,0,,,,,,
"inferior olivary complex",1,0,"Inferior olivary complex",,,"http://mouse.brain-map.org/atlas/index.html#IO",,
"lobule i of vermis",1,0,"Lingula (I)",,,"http://mouse.brain-map.org/atlas/index.html#LING",,
"ansiform lobule crus 2 sublobule b",0,0,,,,,,
"neurofibrae commissurales",0,0,,,,,,
"neural crest",0,0,,,,,,
"area tegmentalis, pars dorsalis",0,0,,,,,,
"horizontal section",0,0,,,,,,
"temporal cortex",0,0,,,,,,
"accessory olfactory tract",0,0,,,,,,
"brodmann's area 29",0,0,,,,,,
"vermal regions",1,0,"Vermal regions",,,"http://mouse.brain-map.org/atlas/index.html#VERM",,
"septofimbrial nucleus",1,0,"Septofimbrial nucleus",,,"http://mouse.brain-map.org/atlas/index.html#SF",,
"nucleus salivatorius rostralis",0,0,,,,,,
"ventral division of cochlear nucleus",1,0,"Ventral cochlear nucleus",,,"http://mouse.brain-map.org/atlas/index.html#VCO",,
"mammillothalamic tract",0,0,,,,,,
"lamella pallidi interna",0,0,,,,,,
"medial superior olivary nucleus",0,0,,,,,,
"lemniscus medialis",0,0,,,,,,
"inner layer of large pyramidal cells",0,0,,,,,,
"nucleus centralis thalami, magnocellularis",0,0,,,,,,
"eminentia collateralis",0,0,,,,,,
"precentral gyrus of insula",0,0,,,,,,
"gyrus occipitalis",0,0,,,,,,
"corpus subthalamicum",0,0,,,,,,
"superior rostral sulcus",0,0,,,,,,
"taenia libera lancisi",0,0,,,,,,
"principal inferior olivary nucleus",0,0,,,,,,
"supraoptic nucleus, accessory supraoptic group",0,0,,,,,,
"dorsal tuberomammillary nucleus",1,1,"Tuberomammillary nucleus",,,"http://mouse.brain-map.org/atlas/index.html#TM",,
"fimbriodentate sulcus",0,0,,,,,,
"annular nucleus",0,0,,,,,,
"sylvian sulcus",0,0,,,,,,
"third ventricle, pineal recess",0,0,,,,,,
"mediodorsal thalamic nucleus",0,0,,,,,,
"decussation of medial lemniscus",0,0,,,,,,
"principal sensory nucleus of trigeminal nerve",0,0,,,,,,
"chief inferior olivary nucleus",0,0,,,,,,
"nucleus spinalis nervi trigeminalis",0,0,,,,,,
"nucleus thoracicus of clarke",0,0,,,,,,
"systema nervosum autonomicum",0,0,,,,,,
"ventral oculomotor nucleus",1,1,"Oculomotor nucleus",,,"http://mouse.brain-map.org/atlas/index.html#III",,
"fibrae perforantes brachii conjunctivi",0,0,,,,,,
"ventral thalamus",1,1,"Thalamus",,,"http://mouse.brain-map.org/atlas/index.html#TH",,
"pars reticularis",0,0,,,,,,
"anterolateral region of motor thalamus",0,0,,,,,,
"stratum moleculare",0,0,,,,,,
"nucleus habenularis medialis",1,0,"Medial habenula",,,"http://mouse.brain-map.org/atlas/index.html#MH",,
"nucleus commissurae anterior",0,0,,,,,,
"trigonum habenulae",0,0,,,,,,
"medial group of the dorsal thalamus",1,0,"Medial group of the dorsal thalamus",,,"http://mouse.brain-map.org/atlas/index.html#MED",,
"area parabigemina",0,0,,,,,,
"superior limb of the circular sulcus",0,0,,,,,,
"nucleus reuniens caudal division",0,0,,,,,,
"pallidum dorsal region",1,0,"Pallidum, dorsal region",,,"http://mouse.brain-map.org/atlas/index.html#PALd",,
"suprachiasmatic nucleus, dorsomedial part",0,0,,,,,,
"nucleus corporis mamillaris medialis, pars lateralis",0,0,,,,,,
"incisura posterior cerebelli",0,0,,,,,,
"nucleus reticularis thalami",0,0,,,,,,
"insula lobule",0,0,,,,,,
"caudal postcentral area 2",0,0,,,,,,
"medial nucleus of the amygdala, posterodorsal part",1,0,"Medial amygdalar nucleus, posterodorsal part",,,"http://mouse.brain-map.org/atlas/index.html#MEApd",,
"accessory cuneate nucleus",1,0,"External cuneate nucleus",,,"http://mouse.brain-map.org/atlas/index.html#ECU",,
"area 34 of brodmann",0,0,,,,,,
"pedunculus cerebellaris medius",0,0,,,,,,
"olfactory limb of anterior commissure",0,0,,,,,,
"posterior hypothalamic region",0,1,,,,,,
"temporo-occipital cortex",0,0,,,,,,
"gyri temporales transversi",0,0,,,,,,
"commissura rostralis, pars anterior",0,0,,,,,,
"supraoptic level of hypothalamus",0,0,,,,,,
"medial eminence of fourth ventricle",0,0,,,,,,
"nucleus interstitialis striae terminalis",0,0,,,,,,
"nervus oculomotorius",0,0,,,,,,
"internal arcuate fibers",0,0,,,,,,
"medial amygdalar nucleus, posterodorsal part, sublayer a",1,0,"Medial amygdalar nucleus, posterodorsal part, sublayer a",,,"http://mouse.brain-map.org/atlas/index.html#MEApd-a",,
"lacrimal nucleus",0,0,,,,,,
"lateral septal nucleus, caudal part, dorsal zone, ventral region",0,0,,,,,,
"posterior calcarine fissure",0,0,,,,,,
"longitudinal fissure of hemisphere",0,0,,,,,,
"middle temporal sulcus",0,0,,,,,,
"extrapyramidal fiber systems",0,0,,,,,,
"inferior rostral sulcus",0,0,,,,,,
"dorsal longitudinal fascicle",0,0,,,,,,
"visual areas",1,0,"Visual areas",,,"http://mouse.brain-map.org/atlas/index.html#VIS",,
"area 17 of mauss-08",0,0,,,,,,
"nucleus medialis dorsalis paralamellaris",0,0,,,,,,
"temporal vestibular area",0,0,,,,,,
"habenular commissure",0,0,,,,,,
"precentral fissure a",0,0,,,,,,
"lateral hypothalamic area, anterior region, dorsal zone",0,0,,,,,,
"lateral reticular nucleus, parvicellular part",1,0,"Lateral reticular nucleus, parvicellular part",,,"http://mouse.brain-map.org/atlas/index.html#LRNp",,
"substantia medullaris isthmus cinguli",0,0,,,,,,
"sulcus semiannularis",0,0,,,,,,
"interposed nucleus",1,0,"Interposed nucleus",,,"http://mouse.brain-map.org/atlas/index.html#IP",,
"nucleus geniculatus lateralis ventralis, pars caudalis",0,0,,,,,,
"cingulofrontal transition cortex",0,0,,,,,,
"striatum ventral region",1,0,"Striatum ventral region",,,"http://mouse.brain-map.org/atlas/index.html#STRv",,
"parieto-occipital eminence",0,0,,,,,,
"anterior ascending limb of lateral sulcus",0,0,,,,,,
"trigonum olfactorium",0,0,,,,,,
"spinal nucleus of the trigeminal oral part middle dorsomedial part, ventral zone",1,0,"Spinal nucleus of the trigeminal, oral part, middle dorsomedial part, ventral zone",,,"http://mouse.brain-map.org/atlas/index.html#SPVOmdmv",,
"hypothalamohypophysial tract",0,0,,,,,,
"sulcus diagonalis",0,0,,,,,,
"inferior salivatory nucleus",1,0,"Inferior salivatory nucleus",,,"http://mouse.brain-map.org/atlas/index.html#ISN",,
"posterior median eminence",0,0,,,,,,
"area 24b of vogt",0,0,,,,,,
"area orbitalis",0,0,,,,,,
"decussatio motoria",0,0,,,,,,
"nucleus centralis lateralis thalami",1,0,"Central lateral nucleus of the thalamus",,,"http://mouse.brain-map.org/atlas/index.html#CL",,
"postsubiculum, layers 1-6",0,0,,,,,,
"spinal accessory nerve-2",0,0,,,,,,
"paraventricular nucleus of the hypothalamus, parvicellular division, medial parvicellular part, dorsal zone",0,0,,,,,,
"nucleus gracilis",1,0,"Gracile nucleus",,,"http://mouse.brain-map.org/atlas/index.html#GR",,
"interhemispheric fissure",0,0,,,,,,
"subparaventricular zone hypothalamus",0,0,,,,,,
"reticular thalamic nucleus",0,0,,,,,,
"truncus corpus callosi",0,0,,,,,,
"amygdaloinsular fasciculus",0,0,,,,,,
"commissura epithalami",0,0,,,,,,
"organum vasculosum subfornicale",0,0,,,,,,
"central oculomotor nucleus",1,1,"Oculomotor nucleus",,,"http://mouse.brain-map.org/atlas/index.html#III",,
"nucleus pericuneatus medialis",0,0,,,,,,
"subiculum, dorsal part, pyramidal layer",1,0,"Subiculum, dorsal part, pyramidal layer",,,"http://mouse.brain-map.org/atlas/index.html#SUBd-sp",,
"sulcus horizontalis cerebelli",0,0,,,,,,
"area 12 of brodmann-09",0,0,,,,,,
"sulcus limitans",0,0,,,,,,
"inferior frontal gyrus, orbital part",0,0,,,,,,
"fasciculus pallido-habenularis",0,0,,,,,,
"pedunculus cerebellaris pontinus",0,0,,,,,,
"posterior limiting nucleus of the thalamus",1,0,"Posterior limiting nucleus of the thalamus",,,"http://mouse.brain-map.org/atlas/index.html#POL",,
"tectospinal pathway",0,0,,,,,,
"lateral septal nucleus, rostral part, dorsolateral zone, lateral region",0,0,,,,,,
"chiasmal level of hypothalamus",0,0,,,,,,
"posterior limiting nucleus thalamus",1,0,"Posterior limiting nucleus of the thalamus",,,"http://mouse.brain-map.org/atlas/index.html#POL",,
"gyrus occipitalis inferior",0,0,,,,,,
"colliculus facialis",0,0,,,,,,
"wernicke's zone",0,0,,,,,,
"field ca1",1,0,"Field CA1",,,"http://mouse.brain-map.org/atlas/index.html#CA1",,
"infundibular stem",0,0,,,,,,
"calcar sulci arcuati",0,0,,,,,,
"commissural nuclear group",0,0,,,,,,
"dorsal intermediate sulcus",0,0,,,,,,
"nucleus magnocellularis medialis anuli aqueductus",0,0,,,,,,
"nucleus of roller",1,0,"Nucleus of Roller",,,"http://mouse.brain-map.org/atlas/index.html#NR",,
"ventral posterior complex of the thalamus",1,0,"Ventral posterior complex of the thalamus",,,"http://mouse.brain-map.org/atlas/index.html#VP",,
"pituitary stalk",0,0,,,,,,
"biventer lobule",0,0,,,,,,
"tractus trigeminothalamicus",0,0,,,,,,
"colliculus cranialis",0,0,,,,,,
"sulcus f2",0,0,,,,,,
"cortical nucleus of the amygdala posterior part lateral zone",0,0,,,,,,
"frontal peduncle",0,0,,,,,,
"preolivary nucleus",0,0,,,,,,
"cervicothalamic tract",0,0,,,,,,
"pallidum, caudal region",1,0,"Pallidum, caudal region",,,"http://mouse.brain-map.org/atlas/index.html#PALc",,
"intralobar fissures",0,0,,,,,,
"posterior forceps",0,0,,,,,,
"thalamic radiations",0,0,,,,,,
"parvicellular division of accessory basal nucleus",0,0,,,,,,
"spinal portion of eleventh cranial nerve",0,0,,,,,,
"marginal zone of the spinal cord",0,0,,,,,,
"fissura transversa cerebelli",0,0,,,,,,
"lobulus medianus",0,0,,,,,,
"supraopticohypophyseal tract",0,0,,,,,,
"lateral entorhinal cortex",1,1,"Entorhinal area",,,"http://mouse.brain-map.org/atlas/index.html#ENT",,
"superior medullary velum",0,0,,,,,,
"lateral amygdalar nucleus",1,0,"Lateral amygdalar nucleus",,,"http://mouse.brain-map.org/atlas/index.html#LA",,
"periaqueductal gray, dorsal division",0,0,,,,,,
"gyrus frontomarginalis",0,0,,,,,,
"tractus tegmenti centralis",0,0,,,,,,
"pretectal region - not otherwise specified",0,0,,,,,,
"layer of small pyramids",0,0,,,,,,
"incisura anterior cerebelli",0,0,,,,,,
"calbindin-containing nucleus of the pons",0,0,,,,,,
"gyrus hippocampi",0,0,,,,,,
"pars corticomedialis",0,0,,,,,,
"fornical commissure",0,0,,,,,,
"medullary center",0,0,,,,,,
"inferior ramus of calcarine fissure",0,0,,,,,,
"cell group f",0,0,,,,,,
"lateral subnucleus of midbrain central gray",0,0,,,,,,
"posterior thalamic radiation",0,0,,,,,,
"semilunar ganglion",0,0,,,,,,
"somatomotor areas",1,0,"Somatomotor areas",,,"http://mouse.brain-map.org/atlas/index.html#MO",,
"supraoptic commissures",0,0,,,,,,
"declive , sublobules a-d",0,0,,,,,,
"anterior laterolateral visual area",0,0,,,,,,
"area 4 of brodmann-09",0,0,,,,,,
"paramedian pontine reticular formation",0,0,,,,,,
"rexed's laminae",0,0,,,,,,
"arcuate nucleus of the hypothalamus",0,0,,,,,,
"tractus spinalis nervi trigemini",0,0,,,,,,
"nucleus corporis geniculati medialis, pars dorsali",1,0,"Medial geniculate complex, dorsal part",,,"http://mouse.brain-map.org/atlas/index.html#MGd",,
"medial amygdalar nucleus, anterodorsal part",1,0,"Medial amygdalar nucleus, anterodorsal part",,,"http://mouse.brain-map.org/atlas/index.html#MEAad",,
"decussatio ventralis tegmenti",0,0,,,,,,
"posterior cingulate white matter",0,0,,,,,,
"dorsomedial tegmental area",0,0,,,,,,
"gyrus frontalis inferior",0,0,,,,,,
"central nuclei",0,0,,,,,,
"superior brachium",0,0,,,,,,
"endopiriform nucleus, dorsal part",1,0,"Endopiriform nucleus, dorsal part",,,"http://mouse.brain-map.org/atlas/index.html#EPd",,
"medial tuberal nucleus",1,1,"Tuberal nucleus",,,"http://mouse.brain-map.org/atlas/index.html#TU",,
"nucleus emboliformis cerebelli",0,0,,,,,,
"septal area",0,0,,,,,,
"dorsal septal nucleus",0,0,,,,,,
"gracile nucleus proper",0,0,,,,,,
"nucleus corporis geniculati medialis, pars dorsalis",1,0,"Medial geniculate complex, dorsal part",,,"http://mouse.brain-map.org/atlas/index.html#MGd",,
"olfactory tubercle, pyramidal layer",1,0,"Olfactory tubercle, pyramidal layer",,,"http://mouse.brain-map.org/atlas/index.html#OT2",,
"ventriculus septi pellucidi",0,0,,,,,,
"arcuate hypothalamic nucleus, lateral part",0,0,,,,,,
"fissura longitudinalis cerebri",0,0,,,,,,
"caudoputamen",3,0,"Caudoputamen","Striatum","Striatum dorsal region","http://mouse.brain-map.org/atlas/index.html#CP","http://mouse.brain-map.org/atlas/index.html#STR","http://mouse.brain-map.org/atlas/index.html#STRd"
"nucleus substantia grisea dorsalis",0,0,,,,,,
"lemniscal trigone",0,0,,,,,,
"nucleus zona incertae caudalis",0,0,,,,,,
"commissural stria terminalis",0,0,,,,,,
"plexus choroidae ventriculi lateralis",0,0,,,,,,
"parvocellular reticular nucleus",0,0,,,,,,
"inferior longitudinal fasciculus",0,0,,,,,,
"anterior quadrangular lobule",0,0,,,,,,
"sulcus temporalis medius",0,0,,,,,,
"lingula",1,0,"Lingula (I)",,,"http://mouse.brain-map.org/atlas/index.html#LING",,
"posteromarginal nucleus",0,0,,,,,,
"tuber vermis",0,0,,,,,,
"lemniscal channel",0,0,,,,,,
"marginal precentral sulcus",0,0,,,,,,
"superior parietal sulcus",0,0,,,,,,
"nucleus corporis geniculati lateralis, pars ventra",0,0,,,,,,
"orbital cortex",0,0,,,,,,
"nucleus pulvinaris medialis ventralis",0,0,,,,,,
"primary somatosensory area lower limb",1,0,"Primary somatosensory area, lower limb",,,"http://mouse.brain-map.org/atlas/index.html#SSp-ll",,
"descending terminal ramus",0,0,,,,,,
"substantia medullaris orbitalis lateralis",0,0,,,,,,
"medial preoptic nucleus central part",1,0,"Medial preoptic nucleus, central part",,,"http://mouse.brain-map.org/atlas/index.html#MPNc",,
"nuclei cerebellares",0,0,,,,,,
"lateral geniculate complex, ventral part, medial zone",1,0,"Ventral part of the lateral geniculate complex, medial zone",,,"http://mouse.brain-map.org/atlas/index.html#LGvm",,
0,0,0,,,,,,
"pontine gray",1,0,"Pontine gray",,,"http://mouse.brain-map.org/atlas/index.html#PG",,
"pontobulbar nucleus",0,0,,,,,,
"velum medullare inferius",0,0,,,,,,
"tectal tracts",0,0,,,,,,
"infundibular recess",0,0,,,,,,
"nucleus commissuralis nervi vagi",0,0,,,,,,
"sulcus cerebri lateralis",0,0,,,,,,
"paraventricular nucleus of the hypothalamus, parvicellular division",0,0,,,,,,
"plexus choroideus ventriculi quarti",0,0,,,,,,
"nucleus nervi oculomotorii",0,0,,,,,,
"2nd cerebellar lobule",0,0,,,,,,
"funiculus cuneatus",0,0,,,,,,
"botzinger complex",0,0,,,,,,
"accessory olfactory bulb, granule cell layer",0,0,,,,,,
"lateral occipitotemporal gyrus",0,0,,,,,,
"field ca1 pyramidal layer",1,0,"Field CA1, pyramidal layer",,,"http://mouse.brain-map.org/atlas/index.html#CA1sp",,
"area praeoptica medialis",0,0,,,,,,
"stratum lacunosum moleculare",0,0,,,,,,
"external plexiform layer of the accessory olfactory bulb",0,0,,,,,,
"paraventricular hypothalamic nucleus, parvicellular division",1,0,"Paraventricular hypothalamic nucleus, parvicellular division",,,"http://mouse.brain-map.org/atlas/index.html#PVHp",,
"parolfactory gyri",0,0,,,,,,
"thalamolenticular limb",0,0,,,,,,
"posterior middle temporal sulcus",0,0,,,,,,
"ventrolateral sulcus",0,0,,,,,,
"nucleus rotundus",0,0,,,,,,
"ventromedial nucleus of the hypothalamus",1,1,"Hypothalamus",,,"http://mouse.brain-map.org/atlas/index.html#HY",,
"anterior vestibulospinal tract",0,0,,,,,,
"area 24 of brodmann-09",0,0,,,,,,
"pararubral nucleus",0,0,,,,,,
"entorhinal area medial part, dorsal zone",1,0,"Entorhinal area, medial part, dorsal zone",,,"http://mouse.brain-map.org/atlas/index.html#ENTm",,
"spinal nucleus of the trigeminal, oral part, middle dorsomedial region, dorsal zone",0,0,,,,,,
"habenulo-interpeduncular tract of diencephalon",0,0,,,,,,
"ventral trigeminothalamic tract",0,0,,,,,,
"rostral interstitial nucleus of the medial longitudinal fasciculus",0,0,,,,,,
"middle cerebellar peduncle",0,0,,,,,,
"secondary sensory cortex",0,0,,,,,,
"trigeminospinal nucleus",0,0,,,,,,
"gyrus temporalis inferior",0,0,,,,,,
"nucleus motorius trigeminalis",0,0,,,,,,
"parabigeminal nucleus",1,0,"Parabigeminal nucleus",,,"http://mouse.brain-map.org/atlas/index.html#PBG",,
"regio occipitalis",0,0,,,,,,
"rostral peduncle of thalamus",0,0,,,,,,
"facial nucleus, dorsomedial subnucleus",0,0,,,,,,
"central medial nucleus of thalamus",1,0,"Central medial nucleus of the thalamus",,,"http://mouse.brain-map.org/atlas/index.html#CM",,
"medial parieto-occipital fissure",0,0,,,,,,
"autonomic nervous system",0,0,,,,,,
"anterior olfactory nucleus posteroventral part",1,0,"Anterior olfactory nucleus, posteroventral part",,,"http://mouse.brain-map.org/atlas/index.html#AONpv",,
"interposed nucleus",1,0,"Interposed nucleus",,,"http://mouse.brain-map.org/atlas/index.html#IP",,
"rostrolateral visual area",1,1,"Visual areas",,,"http://mouse.brain-map.org/atlas/index.html#VIS",,
"stratum zonale of midbrain",0,0,,,,,,
"piriform cortex",1,0,"Piriform area",,,"http://mouse.brain-map.org/atlas/index.html#PIR",,
"fibrae corticotectales",0,0,,,,,,
"basomedial nucleus of the amygdala posterior part",1,0,"Basomedial amygdalar nucleus, posterior part",,,"http://mouse.brain-map.org/atlas/index.html#BMAp",,
"precentral area",0,0,,,,,,
"sulcus fronto-orbitalis",0,0,,,,,,
"presubiculum",1,0,"Presubiculum",,,"http://mouse.brain-map.org/atlas/index.html#PRE",,
"dentatoreticular tract",0,0,,,,,,
"posterior parietal association areas",1,0,"Posterior parietal association areas",,,"http://mouse.brain-map.org/atlas/index.html#PTLp",,
"stratum griseum et fibrosum periventriculare",0,0,,,,,,
"posterior crescentic lobule of cerebellum",0,0,,,,,,
"fasciculi proprii",0,0,,,,,,
"sulcus subparietalis",0,0,,,,,,
"flocculus",1,0,"Flocculus",,,"http://mouse.brain-map.org/atlas/index.html#FL",,
"anterior parieto-occipital sulcus",0,0,,,,,,
"nucleus tracti spinalis nervi trigemini",0,0,,,,,,
"mammillary peduncle",0,0,,,,,,
"medial precentral sulcus",0,0,,,,,,
"entorhinal cortex",1,0,"Entorhinal area",,,"http://mouse.brain-map.org/atlas/index.html#ENT",,
"brachium colliculi superioris",0,0,,,,,,
"nucleus ventralis posterolateralis, pars oralis",0,0,,,,,,
"basal lamina",0,0,,,,,,
