neuron_name,region_UBERON,region_ABA,annotations_ABA,annotations_UBERON
Neostriatum persistent low-threshold spike interneurons,CP,CP,"[u'ABA_REGION:672', 'Missing:persistent', u'HBP_EPHYS:0000110', u'HBP_EPHYS_TRIGGER:0000003']","[u'ABA_REGION:672', 'Missing:persistent', u'HBP_EPHYS:0000110', u'HBP_EPHYS_TRIGGER:0000003']"
Neostriatum medium spiny neuron,CP,CP,"[u'ABA_REGION:672', 'Size:medium', u'HBP_MORPHOLOGY:0000011']","[u'ABA_REGION:672', 'Size:medium', u'HBP_MORPHOLOGY:0000011']"
rostral periventricular region of the third ventricle kisspeptin expressing neurons from ovariectomized mice,rostral PVR V3,rostral PVR V3,"[u'UNKN_REGION:47', u'ABA_REGION:141', 'Missing:of the', 'Missing:of the', u'ABA_REGION:129', u'NCBI_GENE:280287', 'Missing:from ovariectomized', 'Species:mice']","[u'UNKN_REGION:47', u'ABA_REGION:141', 'Missing:of the', 'Missing:of the', u'ABA_REGION:129', u'NCBI_GENE:280287', 'Missing:from ovariectomized', 'Species:mice']"
rostral periventricular region of the third ventricle kisspeptin expressing neurons from diestrus mice,rostral PVR V3,rostral PVR V3,"[u'UNKN_REGION:47', u'ABA_REGION:141', 'Missing:of the', 'Missing:of the', u'ABA_REGION:129', u'NCBI_GENE:280287', 'Missing:from diestrus', 'Species:mice']","[u'UNKN_REGION:47', u'ABA_REGION:141', 'Missing:of the', 'Missing:of the', u'ABA_REGION:129', u'NCBI_GENE:280287', 'Missing:from diestrus', 'Species:mice']"
rostral periventricular region of the third ventricle kisspeptin expressing neurons from proestrus mice,rostral PVR V3,rostral PVR V3,"[u'UNKN_REGION:47', u'ABA_REGION:141', 'Missing:of the', 'Missing:of the', u'ABA_REGION:129', u'NCBI_GENE:280287', 'Missing:from proestrus', 'Species:mice']","[u'UNKN_REGION:47', u'ABA_REGION:141', 'Missing:of the', 'Missing:of the', u'ABA_REGION:129', u'NCBI_GENE:280287', 'Missing:from proestrus', 'Species:mice']"
Medial superior Olive Ventral cell,SOCm ventral,SOCm ventral,"[u'ABA_REGION:105', u'UNKN_REGION:7']","[u'ABA_REGION:105', u'UNKN_REGION:7']"
Medial superior olive dorsal cell,SOCm dorsal,SOCm dorsal,"[u'ABA_REGION:105', u'UNKN_REGION:7262']","[u'ABA_REGION:105', u'UNKN_REGION:7262']"
Medial superior olive ventral cell,SOCm ventral,SOCm ventral,"[u'ABA_REGION:105', u'UNKN_REGION:7']","[u'ABA_REGION:105', u'UNKN_REGION:7']"
Medial superior olive dorsal cell,SOCm dorsal,SOCm dorsal,"[u'ABA_REGION:105', u'UNKN_REGION:7262']","[u'ABA_REGION:105', u'UNKN_REGION:7262']"
"Staged neuron long name: Visual cortex layer 2/3 parvalbumin-expressing interneuron
",VIS,VIS,"['Missing:Staged', 'Missing:long name:', u'ABA_REGION:669', u'HBP_LAYER:0000111', u'NCBI_GENE:19293', 'Missing:']","['Missing:Staged', 'Missing:long name:', u'ABA_REGION:669', u'HBP_LAYER:0000111', u'NCBI_GENE:19293', 'Missing:']"
Visual cortex layer 2/3 parvalbumin-expressing interneuron,VIS,VIS,"[u'ABA_REGION:669', u'HBP_LAYER:0000111', u'NCBI_GENE:19293']","[u'ABA_REGION:669', u'HBP_LAYER:0000111', u'NCBI_GENE:19293']"
Cerebellum Purkinje cell,CB,CB,"[u'ABA_REGION:512', u'HBP_MORPHOLOGY:0000036']","[u'ABA_REGION:512', u'HBP_MORPHOLOGY:0000036']"
Cerebellum Purkinje cell,CB,CB,"[u'ABA_REGION:512', u'HBP_MORPHOLOGY:0000036']","[u'ABA_REGION:512', u'HBP_MORPHOLOGY:0000036']"
Olfactory bulb (main) Blanes cell,,MOB,"['Function:Olfactory', 'Missing:bulb (main)', u'HBP_MORPHOLOGY:0000033']","[u'ABA_REGION:507', 'Missing:(main)', u'HBP_MORPHOLOGY:0000033']"
Olfactory bulb (main) granule cell,,MOB,"['Function:Olfactory', 'Missing:bulb (main)', u'HBP_MORPHOLOGY:0000026']","[u'ABA_REGION:507', 'Missing:(main)', u'HBP_MORPHOLOGY:0000026']"
 Striatal dopaminergic D2 medium spiny neuron,,CP,"['Missing:Striatal', u'HBP_NEUROTRANSMITTER:0000007', 'Missing:D2', 'Size:medium', u'HBP_MORPHOLOGY:0000011']","[u'ABA_REGION:672', u'HBP_NEUROTRANSMITTER:0000007', 'Missing:D2', 'Size:medium', u'HBP_MORPHOLOGY:0000011']"
Striatal dopaminergic D1 medium spiny neuron,,CP,"['Missing:Striatal', u'HBP_NEUROTRANSMITTER:0000007', 'Missing:D1', 'Size:medium', u'HBP_MORPHOLOGY:0000011']","[u'ABA_REGION:672', u'HBP_NEUROTRANSMITTER:0000007', 'Missing:D1', 'Size:medium', u'HBP_MORPHOLOGY:0000011']"
medullary reticular nucleus Lhx3-expressing neuron,MDRN,MDRN,"[u'ABA_REGION:395', 'Missing:Lhx3-expressing']","[u'ABA_REGION:395', 'Missing:Lhx3-expressing']"
gigantocellular reticular nucleus Lhx3-expressing neuron,GRN,GRN,"[u'ABA_REGION:1048', 'Missing:Lhx3-expressing']","[u'ABA_REGION:1048', 'Missing:Lhx3-expressing']"
α/ventral gigantocellular nuclei s Lhx3-expressing neuron,ventral,ventral,"['Missing:\xce\xb1', u'UNKN_REGION:7', 'Missing:l gigantocellular nuclei s Lhx3-expressing']","['Missing:\xce\xb1', u'UNKN_REGION:7', 'Missing:l gigantocellular nuclei s Lhx3-expressing']"
intermediate reticular nucleus Lhx3-expressing neuron,IRN,IRN,"[u'ABA_REGION:136', 'Missing:Lhx3-expressing']","[u'ABA_REGION:136', 'Missing:Lhx3-expressing']"
Olfactory bulb (main) mitral cell,,MOB,"['Function:Olfactory', 'Missing:bulb (main)', u'HBP_MORPHOLOGY:0000030']","[u'ABA_REGION:507', 'Missing:(main)', u'HBP_MORPHOLOGY:0000030']"
Primary motor cortex layer 5 corticothalamic pyramidal neuron,MOp,MOp,"[u'ABA_REGION:985', u'HBP_LAYER:0000005', 'HBP_PROJECTION:113', u'HBP_MORPHOLOGY:0000001']","[u'ABA_REGION:985', u'HBP_LAYER:0000005', 'HBP_PROJECTION:113', u'HBP_MORPHOLOGY:0000001']"
Primary motor cortex layer 5 corticospinal pyramidal neuron,MOp,MOp,"[u'ABA_REGION:985', u'HBP_LAYER:0000005', 'HBP_PROJECTION:22', u'HBP_MORPHOLOGY:0000001']","[u'ABA_REGION:985', u'HBP_LAYER:0000005', 'HBP_PROJECTION:22', u'HBP_MORPHOLOGY:0000001']"
Primary motor cortex layer 5 corticocortical pyramidal neuron,MOp,MOp,"[u'ABA_REGION:985', u'HBP_LAYER:0000005', 'HBP_PROJECTION:7323', u'HBP_MORPHOLOGY:0000001']","[u'ABA_REGION:985', u'HBP_LAYER:0000005', 'HBP_PROJECTION:7323', u'HBP_MORPHOLOGY:0000001']"
Primary motor cortex layer 5 corticostriatal pyramidal neuron,MOp,MOp,"[u'ABA_REGION:985', u'HBP_LAYER:0000005', 'HBP_PROJECTION:7322', u'HBP_MORPHOLOGY:0000001']","[u'ABA_REGION:985', u'HBP_LAYER:0000005', 'HBP_PROJECTION:7322', u'HBP_MORPHOLOGY:0000001']"
Primary visual cortex layer 2/3 parvalbumin expressing GABAergic interneuron,VISp,VISp,"[u'ABA_REGION:385', u'HBP_LAYER:0000111', u'NCBI_GENE:19293', u'HBP_NEUROTRANSMITTER:0000003']","[u'ABA_REGION:385', u'HBP_LAYER:0000111', u'NCBI_GENE:19293', u'HBP_NEUROTRANSMITTER:0000003']"
higher lateromedial extrastriate area layer 2/3 parvalbumin expressing GABAergic interneuron,,,"['Missing:higher lateromedial extrastriate area', u'HBP_LAYER:0000111', u'NCBI_GENE:19293', u'HBP_NEUROTRANSMITTER:0000003']","['Missing:higher lateromedial extrastriate area', u'HBP_LAYER:0000111', u'NCBI_GENE:19293', u'HBP_NEUROTRANSMITTER:0000003']"
higher lateromedial extrastriate area layer 2/3 pyramidal cell projecting to primary visual cortex,VISp,VISp CTX,"['Missing:higher lateromedial extrastriate area', u'HBP_LAYER:0000111', u'HBP_MORPHOLOGY:0000001', 'Missing:projecting to', u'ABA_REGION:385']","['Missing:higher lateromedial extrastriate area', u'HBP_LAYER:0000111', u'HBP_MORPHOLOGY:0000001', 'Missing:projecting to', u'ABA_REGION:385', u'ABA_REGION:688']"
Primary visual cortex layer 2/3 pyramidal cell projecting to higher lateromedial extrastriate area,VISp,VISp,"[u'ABA_REGION:385', u'HBP_LAYER:0000111', u'HBP_MORPHOLOGY:0000001', 'Missing:projecting to higher lateromedial extrastriate area']","[u'ABA_REGION:385', u'HBP_LAYER:0000111', u'HBP_MORPHOLOGY:0000001', 'Missing:projecting to higher lateromedial extrastriate area']"
Neostriatum parvalbumin-expressing regular spiking GABAergic interneuron,CP,CP,"[u'ABA_REGION:672', u'NCBI_GENE:19293', u'HBP_EPHYS:0000001', u'HBP_EPHYS_TRIGGER:0000003', u'HBP_NEUROTRANSMITTER:0000003']","[u'ABA_REGION:672', u'NCBI_GENE:19293', u'HBP_EPHYS:0000001', u'HBP_EPHYS_TRIGGER:0000003', u'HBP_NEUROTRANSMITTER:0000003']"
Neostriatum parvalbumin-expressing bursting GABAergic interneuron,CP,CP,"[u'ABA_REGION:672', u'NCBI_GENE:19293', u'HBP_EPHYS_TRIGGER:0000005', u'HBP_NEUROTRANSMITTER:0000003']","[u'ABA_REGION:672', u'NCBI_GENE:19293', u'HBP_EPHYS_TRIGGER:0000005', u'HBP_NEUROTRANSMITTER:0000003']"
Neostriatum parvalbumin-expressing irregular bursting GABAergic interneuron,CP,CP,"[u'ABA_REGION:672', u'NCBI_GENE:19293', u'HBP_EPHYS:0000010', u'HBP_EPHYS_TRIGGER:0000005', u'HBP_NEUROTRANSMITTER:0000003']","[u'ABA_REGION:672', u'NCBI_GENE:19293', u'HBP_EPHYS:0000010', u'HBP_EPHYS_TRIGGER:0000005', u'HBP_NEUROTRANSMITTER:0000003']"
medial frontal cortex basket fast-spiking parvalbumin positive EGFP-expressing GABAergic cell G42,medial frontal cortex,medial ORB,"[u'UNKN_REGION:14', u'UNKN_REGION:5116', u'HBP_MORPHOLOGY:0000019', u'HBP_EPHYS:0000080', u'HBP_EPHYS_TRIGGER:0000003', 'Missing:EGFP-expressing', u'HBP_NEUROTRANSMITTER:0000003', u'Missing:G42', 'MOUSE_LINE:G42']","[u'UNKN_REGION:14', u'ABA_REGION:714', u'HBP_MORPHOLOGY:0000019', u'HBP_EPHYS:0000080', u'HBP_EPHYS_TRIGGER:0000003', 'Missing:EGFP-expressing', u'HBP_NEUROTRANSMITTER:0000003', u'Missing:G42', 'MOUSE_LINE:G42']"
medial frontal cortex layer 5-6 pyramidal cell G42,medial frontal cortex,medial ORB,"[u'UNKN_REGION:14', u'UNKN_REGION:5116', u'HBP_LAYER:0000141', u'HBP_MORPHOLOGY:0000001', u'Missing:G42', 'MOUSE_LINE:G42']","[u'UNKN_REGION:14', u'ABA_REGION:714', u'HBP_LAYER:0000141', u'HBP_MORPHOLOGY:0000001', u'Missing:G42', 'MOUSE_LINE:G42']"
Primary Visual Cortex layer 4 regular spiking pyramidal neuron,VISp,VISp,"[u'ABA_REGION:385', u'HBP_LAYER:0000004', u'HBP_EPHYS:0000001', u'HBP_EPHYS_TRIGGER:0000003', u'HBP_MORPHOLOGY:0000001']","[u'ABA_REGION:385', u'HBP_LAYER:0000004', u'HBP_EPHYS:0000001', u'HBP_EPHYS_TRIGGER:0000003', u'HBP_MORPHOLOGY:0000001']"
Hippocampus CA1 pyramidal cell,CA1,CA1,"[u'ABA_REGION:382', u'HBP_MORPHOLOGY:0000001']","[u'ABA_REGION:382', u'HBP_MORPHOLOGY:0000001']"
Hippocampus CA3 pyramidal cell,CA3,CA3,"[u'ABA_REGION:463', u'HBP_MORPHOLOGY:0000001']","[u'ABA_REGION:463', u'HBP_MORPHOLOGY:0000001']"
somatosensory cortex layer 1 classical non-accomodating GABAergic cells,SS,SS,"[u'ABA_REGION:453', u'HBP_LAYER:0000001', u'HBP_EPHYS:0000050', u'HBP_EPHYS_TRIGGER:0000002', u'HBP_EPHYS_TRIGGER:0000001', u'HBP_NEUROTRANSMITTER:0000003']","[u'ABA_REGION:453', u'HBP_LAYER:0000001', u'HBP_EPHYS:0000050', u'HBP_EPHYS_TRIGGER:0000002', u'HBP_EPHYS_TRIGGER:0000001', u'HBP_NEUROTRANSMITTER:0000003']"
somatosensory cortex layer 1 classical adapting GABAergic cells,SS,SS,"[u'ABA_REGION:453', u'HBP_LAYER:0000001', u'HBP_EPHYS:0000050', u'HBP_EPHYS_TRIGGER:0000008', u'HBP_NEUROTRANSMITTER:0000003']","[u'ABA_REGION:453', u'HBP_LAYER:0000001', u'HBP_EPHYS:0000050', u'HBP_EPHYS_TRIGGER:0000008', u'HBP_NEUROTRANSMITTER:0000003']"
somatosensory cortex layer 1 bursting non-accommodating GABAergic cells,SS,SS,"[u'ABA_REGION:453', u'HBP_LAYER:0000001', u'HBP_EPHYS_TRIGGER:0000005', u'HBP_EPHYS_TRIGGER:0000002', u'HBP_EPHYS_TRIGGER:0000001', u'HBP_NEUROTRANSMITTER:0000003']","[u'ABA_REGION:453', u'HBP_LAYER:0000001', u'HBP_EPHYS_TRIGGER:0000005', u'HBP_EPHYS_TRIGGER:0000002', u'HBP_EPHYS_TRIGGER:0000001', u'HBP_NEUROTRANSMITTER:0000003']"
neocortex layer 1 classical stuttering GABAergic cells,Isocortex,Isocortex,"[u'ABA_REGION:315', u'HBP_LAYER:0000001', u'HBP_EPHYS:0000050', u'HBP_EPHYS_TRIGGER:0000006', u'HBP_NEUROTRANSMITTER:0000003']","[u'ABA_REGION:315', u'HBP_LAYER:0000001', u'HBP_EPHYS:0000050', u'HBP_EPHYS_TRIGGER:0000006', u'HBP_NEUROTRANSMITTER:0000003']"
neocortex layer 1 classical irregular spiking GABAergic cells,Isocortex,Isocortex,"[u'ABA_REGION:315', u'HBP_LAYER:0000001', u'HBP_EPHYS:0000050', u'HBP_EPHYS:0000010', u'HBP_EPHYS_TRIGGER:0000003', u'HBP_NEUROTRANSMITTER:0000003']","[u'ABA_REGION:315', u'HBP_LAYER:0000001', u'HBP_EPHYS:0000050', u'HBP_EPHYS:0000010', u'HBP_EPHYS_TRIGGER:0000003', u'HBP_NEUROTRANSMITTER:0000003']"
Hippocampus CA1 parvalbumin-expressing basket cell,CA1,CA1,"[u'ABA_REGION:382', u'NCBI_GENE:19293', u'HBP_MORPHOLOGY:0000019']","[u'ABA_REGION:382', u'NCBI_GENE:19293', u'HBP_MORPHOLOGY:0000019']"
Hippocampus CA2 dendritic wide arbor basket parvalbumin-expressing cell,CA2,CA2,"[u'ABA_REGION:423', 'Missing:dendritic wide arbor', u'HBP_MORPHOLOGY:0000019', u'NCBI_GENE:19293']","[u'ABA_REGION:423', 'Missing:dendritic wide arbor', u'HBP_MORPHOLOGY:0000019', u'NCBI_GENE:19293']"
Hippocampus CA2 narrow dendritic arbor basket parvalbumin-expressing cell,CA2,CA2,"[u'ABA_REGION:423', 'Size:narrow', 'Missing:dendritic arbor', u'HBP_MORPHOLOGY:0000019', u'NCBI_GENE:19293']","[u'ABA_REGION:423', 'Size:narrow', 'Missing:dendritic arbor', u'HBP_MORPHOLOGY:0000019', u'NCBI_GENE:19293']"
subiculum pyramidal neuron projecting to thalamic nucleus,SUB thalamic,SUB thalamic,"[u'ABA_REGION:502', u'HBP_MORPHOLOGY:0000001', 'Missing:projecting to', u'UNKN_REGION:112', 'Missing:nucleus']","[u'ABA_REGION:502', u'HBP_MORPHOLOGY:0000001', 'Missing:projecting to', u'UNKN_REGION:112', 'Missing:nucleus']"
subiculum bursting pyramidal neuron,SUB,SUB,"[u'ABA_REGION:502', u'HBP_EPHYS_TRIGGER:0000005', u'HBP_MORPHOLOGY:0000001']","[u'ABA_REGION:502', u'HBP_EPHYS_TRIGGER:0000005', u'HBP_MORPHOLOGY:0000001']"
subiculum regular spiking pyramidal neuron,SUB,SUB,"[u'ABA_REGION:502', u'HBP_EPHYS:0000001', u'HBP_EPHYS_TRIGGER:0000003', u'HBP_MORPHOLOGY:0000001']","[u'ABA_REGION:502', u'HBP_EPHYS:0000001', u'HBP_EPHYS_TRIGGER:0000003', u'HBP_MORPHOLOGY:0000001']"
subiculum pyramidal neuron projecting to presubiculum,SUB PRE,SUB PRE,"[u'ABA_REGION:502', u'HBP_MORPHOLOGY:0000001', 'Missing:projecting to', u'ABA_REGION:1084']","[u'ABA_REGION:502', u'HBP_MORPHOLOGY:0000001', 'Missing:projecting to', u'ABA_REGION:1084']"
subiculum pyramidal neuron projecting to ventromedial hypothalamus,SUB ventromedial HY,SUB ventromedial HY,"[u'ABA_REGION:502', u'HBP_MORPHOLOGY:0000001', 'Missing:projecting to', u'UNKN_REGION:57', u'ABA_REGION:1097']","[u'ABA_REGION:502', u'HBP_MORPHOLOGY:0000001', 'Missing:projecting to', u'UNKN_REGION:57', u'ABA_REGION:1097']"
subiculum pyramidal neuron projecting to retrosplenial cortex,SUB RSP,SUB RSP CTX,"[u'ABA_REGION:502', u'HBP_MORPHOLOGY:0000001', 'Missing:projecting to', u'ABA_REGION:254']","[u'ABA_REGION:502', u'HBP_MORPHOLOGY:0000001', 'Missing:projecting to', u'ABA_REGION:254', u'ABA_REGION:688']"
subiculum pyramidal neuron projecting to lateral entorhinal cortex,SUB ENTl,SUB lateral entorhinal cortex CTX,"[u'ABA_REGION:502', u'HBP_MORPHOLOGY:0000001', 'Missing:projecting to', u'ABA_REGION:918']","[u'ABA_REGION:502', u'HBP_MORPHOLOGY:0000001', 'Missing:projecting to', u'UNKN_REGION:1269', u'ABA_REGION:688']"
subiculum pyramidal neuron projecting to medial entorhinal cortex,SUB medial entorhinal cortex,SUB medial entorhinal cortex CTX,"[u'ABA_REGION:502', u'HBP_MORPHOLOGY:0000001', 'Missing:projecting to', u'UNKN_REGION:2841']","[u'ABA_REGION:502', u'HBP_MORPHOLOGY:0000001', 'Missing:projecting to', u'UNKN_REGION:2841', u'ABA_REGION:688']"
subiculum pyramidal neuron projecting to amygdala,SUB,SUB sAMY,"[u'ABA_REGION:502', u'HBP_MORPHOLOGY:0000001', 'Missing:projecting to amygdala']","[u'ABA_REGION:502', u'HBP_MORPHOLOGY:0000001', 'Missing:projecting to', u'ABA_REGION:278']"
subiculum pyramidal neuron projecting to nucleus accumbens,SUB ACB,SUB ACB,"[u'ABA_REGION:502', u'HBP_MORPHOLOGY:0000001', 'Missing:projecting to', u'ABA_REGION:56']","[u'ABA_REGION:502', u'HBP_MORPHOLOGY:0000001', 'Missing:projecting to', u'ABA_REGION:56']"
subiculum pyramidal neuron projecting to orbitofrontal cortex,SUB,SUB ORB CTX,"[u'ABA_REGION:502', u'HBP_MORPHOLOGY:0000001', 'Missing:projecting to orbitofrontal cortex']","[u'ABA_REGION:502', u'HBP_MORPHOLOGY:0000001', 'Missing:projecting to', u'ABA_REGION:714', u'ABA_REGION:688']"
Subthalamic nucleus neuron,STN,STN,[u'ABA_REGION:470'],[u'ABA_REGION:470']
Olfactory bulb (main) external tufted cell,,MOB,"['Function:Olfactory', 'Missing:bulb (main) external', u'HBP_MORPHOLOGY:0000031']","[u'ABA_REGION:507', 'Missing:(main) external', u'HBP_MORPHOLOGY:0000031']"
Spinal Cord Motor Neuron,spinal cord,spinal cord,"[u'UNKN_REGION:4645', 'Function:Motor']","[u'UNKN_REGION:4645', 'Function:Motor']"
Primary Visual Cortex binocular region layer 4 regular spiking pyramidal neuron,VISp,VISp,"[u'ABA_REGION:385', 'Missing:binocular region', u'HBP_LAYER:0000004', u'HBP_EPHYS:0000001', u'HBP_EPHYS_TRIGGER:0000003', u'HBP_MORPHOLOGY:0000001']","[u'ABA_REGION:385', 'Missing:binocular region', u'HBP_LAYER:0000004', u'HBP_EPHYS:0000001', u'HBP_EPHYS_TRIGGER:0000003', u'HBP_MORPHOLOGY:0000001']"
Primary Visual Cortex monocular region layer 4 pyramidal regular spiking neuron,VISp,VISp,"[u'ABA_REGION:385', 'Missing:monocular region', u'HBP_LAYER:0000004', u'HBP_MORPHOLOGY:0000001', u'HBP_EPHYS:0000001', u'HBP_EPHYS_TRIGGER:0000003']","[u'ABA_REGION:385', 'Missing:monocular region', u'HBP_LAYER:0000004', u'HBP_MORPHOLOGY:0000001', u'HBP_EPHYS:0000001', u'HBP_EPHYS_TRIGGER:0000003']"
Nucleus accumbens medium spiny neuron projecting to adjacent medium spiny neurons,ACB,ACB,"[u'ABA_REGION:56', 'Size:medium', u'HBP_MORPHOLOGY:0000011', 'Missing:projecting to adjacent', 'Size:medium', u'HBP_MORPHOLOGY:0000011']","[u'ABA_REGION:56', 'Size:medium', u'HBP_MORPHOLOGY:0000011', 'Missing:projecting to adjacent', 'Size:medium', u'HBP_MORPHOLOGY:0000011']"
Nucleus Accumbens fast-spiking parvalbumin-expressing GABAergic neuron projecting to medium spiny neurons. ,ACB,ACB,"[u'ABA_REGION:56', u'HBP_EPHYS:0000080', u'HBP_EPHYS_TRIGGER:0000003', u'NCBI_GENE:19293', u'HBP_NEUROTRANSMITTER:0000003', 'Missing:neuron projecting to', 'Size:medium', u'HBP_MORPHOLOGY:0000011', 'Missing:.']","[u'ABA_REGION:56', u'HBP_EPHYS:0000080', u'HBP_EPHYS_TRIGGER:0000003', u'NCBI_GENE:19293', u'HBP_NEUROTRANSMITTER:0000003', 'Missing:neuron projecting to', 'Size:medium', u'HBP_MORPHOLOGY:0000011', 'Missing:.']"
Cerebellum Purkinje cell,CB,CB,"[u'ABA_REGION:512', u'HBP_MORPHOLOGY:0000036']","[u'ABA_REGION:512', u'HBP_MORPHOLOGY:0000036']"
parafascicular (Pf) neuron,,,['Missing:parafascicular (Pf)'],['Missing:parafascicular (Pf)']
parafascicular (Pf) neuron,,,['Missing:parafascicular (Pf)'],['Missing:parafascicular (Pf)']
parafascicular (Pf) neuron,,,['Missing:parafascicular (Pf)'],['Missing:parafascicular (Pf)']
Auditory cortex low-threshold spiking cell,AUD,AUD,"[u'ABA_REGION:247', u'HBP_EPHYS:0000110', u'HBP_EPHYS_TRIGGER:0000003']","[u'ABA_REGION:247', u'HBP_EPHYS:0000110', u'HBP_EPHYS_TRIGGER:0000003']"
Auditory cortex fast-spiking cell,AUD,AUD,"[u'ABA_REGION:247', u'HBP_EPHYS:0000080', u'HBP_EPHYS_TRIGGER:0000003']","[u'ABA_REGION:247', u'HBP_EPHYS:0000080', u'HBP_EPHYS_TRIGGER:0000003']"
Primary auditory cortex fast-spiking interneurons,AUD,AUDp,"[u'ABA_REGION:247', u'HBP_EPHYS:0000080', u'HBP_EPHYS_TRIGGER:0000003']","[u'ABA_REGION:1002', u'HBP_EPHYS:0000080', u'HBP_EPHYS_TRIGGER:0000003']"
Primary auditory cortex layer 3/4 regular-spiking pyramidal neurons ,AUD,AUDp,"[u'ABA_REGION:247', u'HBP_LAYER:0000121', u'HBP_EPHYS:0000001', u'HBP_EPHYS_TRIGGER:0000003', u'HBP_MORPHOLOGY:0000001']","[u'ABA_REGION:1002', u'HBP_LAYER:0000121', u'HBP_EPHYS:0000001', u'HBP_EPHYS_TRIGGER:0000003', u'HBP_MORPHOLOGY:0000001']"
Dentate gyrus granule cell,DG,DG,"[u'ABA_REGION:726', u'HBP_MORPHOLOGY:0000026']","[u'ABA_REGION:726', u'HBP_MORPHOLOGY:0000026']"
Medial entorhinal cortex layer II stellate cell,medial entorhinal cortex,medial entorhinal cortex,"[u'UNKN_REGION:2841', u'HBP_LAYER:0000002', u'HBP_MORPHOLOGY:0000013']","[u'UNKN_REGION:2841', u'HBP_LAYER:0000002', u'HBP_MORPHOLOGY:0000013']"
Neostriatum medium spiny neuron,CP,CP,"[u'ABA_REGION:672', 'Size:medium', u'HBP_MORPHOLOGY:0000011']","[u'ABA_REGION:672', 'Size:medium', u'HBP_MORPHOLOGY:0000011']"
Hippocampus CA1 pyramidal cell,CA1,CA1,"[u'ABA_REGION:382', u'HBP_MORPHOLOGY:0000001']","[u'ABA_REGION:382', u'HBP_MORPHOLOGY:0000001']"
Dorsal root ganglion cell,dorsal root ganglion,dorsal root ganglion,[u'UNKN_REGION:7287'],[u'UNKN_REGION:7287']
Dorsal root ganglion cell,dorsal root ganglion,dorsal root ganglion,[u'UNKN_REGION:7287'],[u'UNKN_REGION:7287']
Trigeminal ganglion neurons,trigeminal ganglion,trigeminal ganglion,[u'UNKN_REGION:4685'],[u'UNKN_REGION:4685']
dentate gyrus somatostatin-expressing cell GIN,DG,DG,"[u'ABA_REGION:726', u'Missing:GIN', 'MOUSE_LINE:GIN']","[u'ABA_REGION:726', u'Missing:GIN', 'MOUSE_LINE:GIN']"
Olfactory bulb (main) mitral cell,,MOB,"['Function:Olfactory', 'Missing:bulb (main)', u'HBP_MORPHOLOGY:0000030']","[u'ABA_REGION:507', 'Missing:(main)', u'HBP_MORPHOLOGY:0000030']"
Olfactory bulb (main) mitral cell,,MOB,"['Function:Olfactory', 'Missing:bulb (main)', u'HBP_MORPHOLOGY:0000030']","[u'ABA_REGION:507', 'Missing:(main)', u'HBP_MORPHOLOGY:0000030']"
Olfactory bulb (main) tufted cell (middle),,MOB,"['Function:Olfactory', 'Missing:bulb (main)', u'HBP_MORPHOLOGY:0000031', 'Missing:(middle)']","[u'ABA_REGION:507', 'Missing:(main)', u'HBP_MORPHOLOGY:0000031', 'Missing:(middle)']"
Olfactory bulb (main) tufted cell (middle),,MOB,"['Function:Olfactory', 'Missing:bulb (main)', u'HBP_MORPHOLOGY:0000031', 'Missing:(middle)']","[u'ABA_REGION:507', 'Missing:(main)', u'HBP_MORPHOLOGY:0000031', 'Missing:(middle)']"
Small cerebellum golgi cell,CB,CB,"['Size:Small', u'ABA_REGION:512', u'HBP_MORPHOLOGY:0000040']","['Size:Small', u'ABA_REGION:512', u'HBP_MORPHOLOGY:0000040']"
small fusiform Lugaro cell,,,"['Size:small', u'HBP_MORPHOLOGY:0000023', u'HBP_MORPHOLOGY:0000037']","['Size:small', u'HBP_MORPHOLOGY:0000023', u'HBP_MORPHOLOGY:0000037']"
Cerebellum Globular cell,CB,CB,"[u'ABA_REGION:512', u'HBP_MORPHOLOGY:0000073']","[u'ABA_REGION:512', u'HBP_MORPHOLOGY:0000073']"
Gamma motor neurons,,,"['Missing:Gamma', 'Function:motor']","['Missing:Gamma', 'Function:motor']"
Cortex fast-spiking neuron,,CTX,"['Missing:Cortex', u'HBP_EPHYS:0000080', u'HBP_EPHYS_TRIGGER:0000003']","[u'ABA_REGION:688', u'HBP_EPHYS:0000080', u'HBP_EPHYS_TRIGGER:0000003']"
Cortex regular spiking neuron,,CTX,"['Missing:Cortex', u'HBP_EPHYS:0000001', u'HBP_EPHYS_TRIGGER:0000003']","[u'ABA_REGION:688', u'HBP_EPHYS:0000001', u'HBP_EPHYS_TRIGGER:0000003']"
Hippocampus CA1 pyramidal cell,CA1,CA1,"[u'ABA_REGION:382', u'HBP_MORPHOLOGY:0000001']","[u'ABA_REGION:382', u'HBP_MORPHOLOGY:0000001']"
Dentate gyrus granule cell,DG,DG,"[u'ABA_REGION:726', u'HBP_MORPHOLOGY:0000026']","[u'ABA_REGION:726', u'HBP_MORPHOLOGY:0000026']"
somatosensory cortex layer 5b pyramidal cell,SS,SS,"[u'ABA_REGION:453', u'HBP_LAYER:0000051', u'HBP_MORPHOLOGY:0000001']","[u'ABA_REGION:453', u'HBP_LAYER:0000051', u'HBP_MORPHOLOGY:0000001']"
