,Label,Id,Definition,Neurotransmitter,Synonym,"Located in","Has role",Species,CellSomaShape,MolecularConstituents,ExampleImage
":Category:DN2 neuron","DN2 neuron",nlx_147364,"DN (dorsal Period-expressing neuron of adult brain) whose medium-sized cell body is located posteriorly in the dorsal superior brain, ventral to the projections of the `s-LNv Pdf neurons` (FBbt_00003764). There are 2 cells in each DN2 cluster.",,,,,,,,
":Category:DN3 neuron","DN3 neuron",nlx_147365,"DN (dorsal Period-expressing neuron of adult brain) with a cell body located in the lateral-most cluster of Period expressing DN neurons. There are around 40 cells in each cluster.",,,,,,,,
":Category:DN3a neuron","DN3a neuron",nlx_148122,"DN (dorsal Period-expressing neuron of adult brain) with a medium-sized cell body, located in the lateral-most cluster of per expressing DN neurons. There are two cells per hemisphere, each of which project anteriorly to the aMe (Helfrich-Forster et al., 2007).",,,,,,,,
":Category:DRG IA cell","DRG IA cell",nifext_91,,,"IA ganglion cell",":Category:Dorsal root ganglion",,:Category:Vertebrata,,,
":Category:DRG IB cell","DRG IB cell",nifext_92,,,"IB ganglion cell",":Category:Dorsal root ganglion",,,,,
":Category:DRG II cell","DRG II cell",nifext_93,,,"II ganglion cell",":Category:Dorsal root ganglion",,,,,
":Category:DRG Meissner's corpuscle cell","DRG Meissner's corpuscle cell",nifext_88,,,"Meissner's corpuscle cell",":Category:Dorsal root ganglion",,:Category:Vertebrata,,,
":Category:DRG Merckel disc cell","DRG Merckel disc cell",nifext_87,,,"Merckel disc cell",":Category:Dorsal root ganglion",,:Category:Vertebrata,,,
":Category:DRG Pacinian corpuscle cell","DRG Pacinian corpuscle cell",nifext_86,,,,":Category:Dorsal root ganglion",,:Category:Vertebrata,,,
":Category:DRG hair follicle cell","DRG hair follicle cell",nifext_85,,,"Hair follicle cell",":Category:Dorsal root ganglion",,,,,
":Category:DRG pain cell","DRG pain cell",nifext_89,,,"DRG pain cell",":Category:Dorsal root ganglion",":Category:Nociceptive role of nerve cell",,,,
":Category:DRG temperature cell","DRG temperature cell",nifext_90,,,"Temperature cell",":Category:Dorsal root ganglion",,:Category:Vertebrata,,,
":Category:Dch3 / 1 neuron","Dch3 / 1 neuron",nlx_146731,,,,,,,,,
":Category:Dch3 neuron","Dch3 neuron",nlx_146730,,,,,,,,,
":Category:Dendritic arborizing neuron","Dendritic arborizing neuron",nlx_147851,"Sensory multidendritic neuron of the PNS with branching dendrites that spread directly below and in close association with the epidermal cell layer.",,"da neuron",,,,,,
":Category:Dentate gyrus HICAP cell","Dentate gyrus HICAP cell",nlx_32288,"""The Dentate gyrus HICAP cells (HIlar Commissural-Associational pathway related cells) are multipolar or triangular cells in the polymorphic layer with thin, aspiny dendrites that extend both within the hilus and within the molecular layer. the axons of these HICAP cells extend through the granule cell layer and branch profusely in the inner third of the molecular layer.""",:Category:GABA,"Hilar cell,Hilar neuron",":Category:Dentate gyrus",,:Category:Vertebrata,,,
":Category:Dentate gyrus HIPP cell","Dentate gyrus HIPP cell",nlx_cell_091201,"""The Dentate gyrus HIPP cell (HIlar Perforant Path-associated cell) is an interneuron in the Hippocampal formation. It is a long-spined multipolar cell that is conspicuous of distribution of copious, long and often branched spines over its cell body and dendrites. The axonal plexus can extend as much as 3.5mm along the septotemporal axis of the dentate gyrus. Since inhibitory interneurons typically have aspiny dendrites and relatively local axonal plexuses, this long spined multipolar/HIPP cell is a very atypical interneuron"".",:Category:GABA,,":Category:Dentate gyrus",,:Category:Vertebrata,,:Category:Somatostatin,
":Category:Dentate gyrus IS-I cell","Dentate gyrus IS-I cell",nlx_cell_091203,"The IS (Interneuron-Specific) subpopulation of interneurons have axons that preferentially innervate other interneurons. The Dentate gyrus IS-I class interneurons are visualized by immunostaining for Calretinin (CR) and establish multiple symmetrical synapses on the dendrites and somata of other CR-positive IS-I cells, Calbindin (CB) containing interneurons, and VIP-positive basket cells, but they do not innervate PV-containing interneurons. The dendrites of Dentate gyrus IS I neurons appear in all layers of Dentate gyrus and more characteristic feature of these dendrites is that they form long dendrodendritic junctions with each other.",:Category:GABA,"DG Interneuron-specific cell",":Category:Dentate gyrus",,:Category:Vertebrata,,:Category:Calretinin,
":Category:Dentate gyrus IS-II cell","Dentate gyrus IS-II cell",nlx_cell_091204,"The IS (Interneuron-Specific) subpopulation of interneurons have axons that preferentially innervate other interneurons. The Dentate Gyrus IS-II class interneurons are visualized by immunostaining for Vasoactive Intestinal Polypeptide (VIP). The dendrites of Dentate gyrus IS-II cells are present in all layers of Dentate gyrus.",:Category:GABA,"DG Interneruon-specific II cell",":Category:Dentate gyrus",,:Category:Vertebrata,,":Category:Calretinin,:Category:Vasoactive intestinal peptide",
":Category:Dentate gyrus MOPP cell","Dentate gyrus MOPP cell",nlx_47009,"The Dentate Gyrus MOPP cell (molecular layer perforant path-associated cell) is a interneuron in hippocampal formation. It is located deep in the DG molecular layer, has a multipolar or triangular cell body and gives rise to an axon that produces a substantial terminal plexus largely limited to the outer two thirds of the DG molecular layer.",:Category:GABA,,":Category:Dentate gyrus",,:Category:Vertebrata,,,
":Category:Dentate gyrus axo-axonic cell","Dentate gyrus axo-axonic cell",nlx_54328,,:Category:GABA,"DG Chandelier cell",":Category:Dentate gyrus",,:Category:Vertebrata,,,
":Category:Dentate gyrus basket cell","Dentate gyrus basket cell",nlx_cell_100201,,,"pyramidal basket cell",":Category:Dentate gyrus",,:Category:Vertebrata,,,"File:Dentate gyrus basket cell.jpg"
":Category:Dentate gyrus granule cell","Dentate gyrus granule cell",nifext_153,"The dentate gyrus granule cell is the only principal cell of the dentate gyrus.",:Category:Glutamate,"Dentate gyrus granule neuron,Granule cell of dentate gyrus,Dentate granule cell,DG granule cell",":Category:Dentate gyrus",,:Category:Vertebrata,"Category:Granule Soma Quality",,"File:Dentate gyrus granule cell.gif"
":Category:Dentate gyrus hilar cell","Dentate gyrus hilar cell",nlx_cell_20090727,,:Category:GABA,,":Category:Dentate gyrus",,:Category:Vertebrata,,,
":Category:Dentate gyrus mossy cell","Dentate gyrus mossy cell",nlx_22799,"Excitatory polymorphic intrinsic neuron of the dentate gyrus hilus",:Category:Glutamate,"Mossy cell,Mossy neuron,Dentate gyrus mossy neuron",":Category:Dentate gyrus hilus",":Category:Intrinsic neuron role",:Category:Mammal,"Category:Multipolar ",,
":Category:Dentate gyrus spiny CR cell","Dentate gyrus spiny CR cell",nlx_78883,"The DG spiny CR cells are present mostly in regions where mossy fibers have a high density, i.e., in the hilus of the dentate gyrus and in stratum lucidum of CA3 subfield. The dendrites and somata frequently possess numerous long hair-like spines that penetrate into bundles of mossy fibers.",:Category:GABA,"DG Spiny CR immunoreactive cell,DG Spiny CR-positive interneurons",":Category:Dentate gyrus",,:Category:Vertebrata,,:Category:Calretinin,
":Category:Dentate gyrus trilaminar interneuron","Dentate gyrus trilaminar interneuron",nlx_cell_100204,"Neuron with soma in the hilar region of the dentate gyrus.  The dendritic arbor orientation and axon collateral distribution of this neuron resembles most the trilaminar neuron 0f CA1 region. The axon collaterals extend logitudinally into strata radiatum, pyramidale and oriens, some axon collaterals reaching the subiculum and a main branch entering the fimbria. The dendrites of these neurons run parallel with the pyramidal cell layer. Another special feature is these cells are calbindin-positive immunoreactive neurons.",:Category:GABA,,":Category:Dentate gyrus",,:Category:Vertebrata,,":Category:Calbindin 28K",
":Category:Des1 neuron","Des1 neuron",nlx_146725,,,,,,,,,
":Category:Des3 neuron","Des3 neuron",nlx_146727,,,,,,,,,
":Category:Des3+1 neuron","Des3+1 neuron",nlx_146728,,,,,,,,,
":Category:Des3+1+1 neuron","Des3+1+1 neuron",nlx_146729,,,,,,,,,
":Category:DesA neuron","DesA neuron",nlx_146719,"Sensory neuron of the peripheral nervous system that innervates a dorsal external sense (des) organ of the abdominal, mesothoracic, metathoracic or prothoracic segment of the embryo / larva.",,,,,,,,
":Category:DesB neuron","DesB neuron",nlx_146720,"Sensory neuron of the peripheral nervous system that innervates a dorsal external sense (des) organ of the abdominal, mesothoracic, metathoracic or prothoracic segment of the embryo / larva.",,,,,,,,
":Category:DesC neuron","DesC neuron",nlx_146721,"Sensory neuron of the peripheral nervous system that innervates a dorsal external sense (des) organ of the abdominal, mesothoracic, metathoracic or prothoracic segment of the embryo / larva.",,,,,,,,
":Category:DesD neuron","DesD neuron",nlx_146722,"Sensory neuron of the peripheral nervous system that innervates a dorsal external sense (des) organ of the abdominal, mesothoracic, metathoracic or prothoracic segment of the embryo / larva.",,,,,,,,
":Category:DesE neuron","DesE neuron",nlx_146723,"Most dorsal of the sensory neurons of the peripheral nervous system that innervate a dorsal external sense (des) organ of the mesothoracic, metathoracic or prothoracic segment of the embryo / larva (Dambly-Chaudiere and Ghysen, 1986).",,,,,,,,
":Category:Desn neuron","Desn neuron",nlx_146724,,,,,,,,,
":Category:Direct flight muscle motor neuron","Direct flight muscle motor neuron",nlx_147775,.,,,,,,,,
":Category:Dopaminergic PAL neuron","Dopaminergic PAL neuron",nlx_148563,"A dopaminergic neuron whose cell body is located in a cluster of approximately 5 cell bodies in the cortex located lateral to the dorsal portion of the vertical lobes in the middle of the superior lateral protocerebrum.",,PAL,,,,,,
":Category:Dopaminergic PAM neuron","Dopaminergic PAM neuron",nlx_148562,"A dopaminergic neuron whose cell body is located in a cluster of approximately 100 cell bodies in the cortex of the anterior inferior medial protocerebrum. At least some members of this group project to the medial tip of, and areas posterior to, the mushroom body medial lobe.",,PAM,,,,,,
":Category:Dopaminergic PPL1 neuron","Dopaminergic PPL1 neuron",nlx_148567,"A dopaminergic neuron whose cell body is located in a cluster of approximately 12 cell bodies in the cortex of the posterior inferior lateral protocerebrum. Members of this group project to various parts of the mushroom body: the tip of the alpha lobe, the tip of the alpha' lobe, the upper portion of the alpha lobe segment 2, alpha lobe segment 1 and the lower part of segment 2, and the pedunculus and spur. Other members of this group arborize in areas other than the mushroom body: the edge of the medial portions of the medial lobes, broad areas surrounding the ipsilateral vertical lobes, areas posterior to the ipsilateral vertical lobes, and the entire span of the superior arch.",,PPL1,,,,,,
":Category:Dopaminergic PPL2ab neuron","Dopaminergic PPL2ab neuron",nlx_148568,"A dopaminergic neuron whose cell body is located in a cluster of approximately 6 cell bodies in the cortex of the posterior inferior lateral protocerebrum. Members of this group send processes to various parts of the brain: one group send processes to the calyx, the inferior portion of the lateral horn and broad areas in the middle superior medial protocerebrum, another group sends processes to the calyx, the entire lateral horn and broad areas of the middle superior protocerebrum, another subgroup innervates the lobula and broad protocerebral areas, and a final group innervates the posterior lateral protocerebrum.",,PPL2ab,,,,,,
":Category:Dopaminergic PPL2c neuron","Dopaminergic PPL2c neuron",nlx_148569,"A dopaminergic neuron whose cell body is located in a cluster of approximately 2 cell bodies in the cortex of the posterior lateral protocerebrum.",,PPL2c,,,,,,
":Category:Dopaminergic PPM1 neuron","Dopaminergic PPM1 neuron",nlx_148564,"Dopaminergic neuron whose cell body is located in a small cluster along the dorsoventral midline of the posterior superior medial protocerebrum.",,PPM1,,,,,,
":Category:Dopaminergic PPM2 neuron","Dopaminergic PPM2 neuron",nlx_148565,"A dopaminergic neuron whose cell body is located in a cluster of approximately 8 cell bodies in the cortex of the posterior inferior medial protocerebrum.",,PPM2,,,,,,
":Category:Dopaminergic PPM3 neuron","Dopaminergic PPM3 neuron",nlx_148566,"A dopaminergic neuron whose cell body is located in a cluster of approximately 6-8 cell bodies in the cortex of the superior posterior slope.",,PPM3,,,,,,
":Category:Dopaminergic dorso-lateral neuron","Dopaminergic dorso-lateral neuron",nlx_148953,"Dopaminergic neuron dorsolaterally located in each hemisegment of abdominal segments A1-A7.",,,,,,,,
":Category:Dopaminergic neuron (FBbt Term)","Dopaminergic neuron (FBbt Term)",nlx_147835,"Any neuron (FBbt_00005106) that releases as a neurotransmitter, some dopamine (CHEBI:18243).",,"DA neuron",,,,,,
":Category:Dorsal anterior lateral neuron of the protocerebrum","Dorsal anterior lateral neuron of the protocerebrum",nlx_148994,"A neuron whose cell body is located in the dorsal anteriolateral protocerebrum (Xia et al., 2005), extending its dendrites mainly in the superior dorsofrontal protocerebrum. It projects its axons in three different regions: where the dendritic tree is located and in the dorsolateral and inferior dorsofrontal protocerebrum domains. It establishes synaptic contacts with the pioneer mushroom body alpha / beta neurons in a small dorsal frontal domain of the mushroom body calyx (Chen et al., 2012). There are two pairs of DAL neurons per hemisphere (Xia et al., 2005).",,"DAL neuron",,,,,,
":Category:Dorsal cibarial sense organ neuron","Dorsal cibarial sense organ neuron",nlx_147732,"Neuron innervating the dorsal cibarial sense organ.",,,,,,,,
":Category:Dorsal group dA neuron","Dorsal group dA neuron",nlx_147802,,,,,,,,,
":Category:Dorsal humeral crossvein campaniform sensillum neuron","Dorsal humeral crossvein campaniform sensillum neuron",nlx_148484,"Neuron innervating the dorsal humeral crossvein campaniform sensillum.",,,,,,,,
":Category:Dorsal motor nucleus of vagus motor neuron","Dorsal motor nucleus of vagus motor neuron",nlx_38336,"Motor neuron whose cell soma lies within the dorsal motor nucleus of the vagus, the principal parasympathetic nucleus of the brain.",:Category:Acetylcholine,,":Category:Dorsal motor nucleus of vagus nerve",":Category:Principal neuron role",:Category:Vertebrata,,,
":Category:Dorsal root ganglion A alpha-beta nociceptive neuron","Dorsal root ganglion A alpha-beta nociceptive neuron",nlx_152098,,,,,,:Category:Vertebrata,,,
":Category:Dorsal root ganglion A alpha-beta non-nociceptive neuron","Dorsal root ganglion A alpha-beta non-nociceptive neuron",nifext_84,"Large cell located in the dorsal root ganglion with a single process that extends into the periphery and into the spinal cord. These neurons convey sensory information from the body.",:Category:Glutamate,"Dorsal root ganglion neuron,Dorsal root ganglion cell",":Category:Dorsal root ganglion",,:Category:Vertebrata,,":Category:Neurofilament 200kD","File:Dorsal root ganglion cell.jpg"
":Category:Dorsal root ganglion A delta nociceptive neuron","Dorsal root ganglion A delta nociceptive neuron",nlx_152097,,,,,,:Category:Vertebrata,,,
":Category:Dorsal root ganglion A delta non-nociceptive neuron","Dorsal root ganglion A delta non-nociceptive neuron",nlx_152099,,,,,,:Category:Vertebrata,,,
":Category:Dorsal root ganglion C nociceptive neuron","Dorsal root ganglion C nociceptive neuron",nlx_152096,,,,,,:Category:Vertebrata,,,
":Category:Dorsal root ganglion C non-nociceptive neuron","Dorsal root ganglion C non-nociceptive neuron",nlx_152100,,,,,,:Category:Vertebrata,,,
":Category:Dorsal spinocerebellar tract cell","Dorsal spinocerebellar tract cell","nlx_143534,nifext_102",,,,,,,,,
":Category:Dorsal tegmental nucleus medium cell","Dorsal tegmental nucleus medium cell",nlx_cell_20090403,"Medium sized neuron located in the dorsal tegmental nucleus pars ventralis characterized by an oval, oblong or round shaped cell soma, an irregularly shaped oblong nucleus with one or rarely two nucleoli and an indented nuclear envelope.  The somatic surface is smooth  with no smatic spines.  any organelles are present in the cytoplasm, including well developed rough endoplasmic reticulum forming Nissl bodies.",,"Dorsal tegmental nucleus medium neuron",":Category:Dorsal tegmental nucleus pars ventralis",,:Category:Rat,"Category:Round, oval, fusiform ",,
":Category:Dorsal tegmental nucleus small cell","Dorsal tegmental nucleus small cell",nlx_cell_20090402,"Small neuron located in the pars dorsalis of the dorsal tegmental nucleus characterized by a spindle or oval shaped neuronal somata, an irregularly-shaped deeply indented nucleus with a prominent nucleolus surrounded by a small rim of cytoplasm containing mitochondria, lysosomes, Golgi apparatus (not well developed) and rough endoplasmic reticulum.  These cells stain lightly in Nissl preparations.  No somatic spines are observed on the cell soma.",,"Dorsal tegmental nucleus small neuron",":Category:Dorsal tegmental nucleus pars dorsalis",,:Category:Rat,"Category:Fusiform Soma Quality ",,
":Category:Dorsal tp motor neuron","Dorsal tp motor neuron",nlx_147781,,,,,,,,,
":Category:Dorso-lateral dopaminergic neuron","Dorso-lateral dopaminergic neuron",nlx_147836,,,"dorso-lateral dopamine neuron",,,,,,
":Category:Dorsomedial neurosecretory cell","Dorsomedial neurosecretory cell",nlx_147721,,,,,,,,,
":Category:E-1 neuron","E-1 neuron",nlx_148483,"Neuron associated with the anterior crossvein campaniform sensillum neuron, but does not possess a typical dendrite whose conspicuous distal tip can be seen near the surface of the epithelium (Murray et al., 1984).",,,,,,,,
":Category:EH neurosecretory neuron","EH neurosecretory neuron",nlx_147924,"A neuron of the larval brain that expresses eclosion hormone. A single pair of these neurons is present per larva. Their processes extend the entire length of the central nervous system and also to the corpora cardiaca portion of the ring gland via the nervus corporis cardiaci.",,"EH neuron",,,,,,
":Category:Eb-no neuron","Eb-no neuron",nlx_147372,"Small field neuron of the central complex that innervates only the ellipsoid body and the nodulus.",,"CCI (no-eb1)",,,,,,
":Category:Eb-pb-vbo neuron","Eb-pb-vbo neuron",nlx_147371,"Small field neuron of the central complex that connects a large dorso-lateral area of the ellipsoid body to a lateral glomerulus of the ipsilateral protocerebral bridge and to either the ipsilateral or contralateral lateral accessory lobe (ventral body). Forms club-like terminals in the protocerebral bridge and spiny arborizations in the ellipsoid body.",,,,,,,,
":Category:Embryonic / larval olfactory receptor neuron","Embryonic / larval olfactory receptor neuron",nlx_148093,"Any olfactory receptor neuron (FBbt_00005926) that is part of some larva (FBbt_00001727).",,"larval ORN",,,,,,
":Category:Endocrine neuron","Endocrine neuron",nlx_148126,"Any neuron (FBbt_00005106) that functions in (some) endocrine hormone secretion (GO:0060986).",,,,,,,,
":Category:Entorhinal cortex layer 2 stellate neuron","Entorhinal cortex layer 2 stellate neuron",nlx_36209,,,,":Category:Entorhinal cortex",,,,,
":Category:Eo neuron","Eo neuron",nlx_147848,"Sensory neuron that is part of an eo-sensillum and whose dendrite innervates the cuticular external sensory structure of that sensillum.",,,,,,,,
":Category:Extra LNd neuron","Extra LNd neuron",nlx_148520,"LNd neuron characterized by having a slightly larger nucleus and cytoplasmic area compared to the other LNd neurons.",,,,,,,,
":Category:Extrinsic neuron","Extrinsic neuron",nlx_147394,"An interneuron that extends projections between different neuropil domains.",,,,,,,,
":Category:Extrinsic no neuron","Extrinsic no neuron",nlx_147396,"Any extrinsic neuron (FBbt_00003660) that has synaptic terminals in some nodulus (FBbt_00003680).",,,,,,,,
":Category:Extrinsic pb neuron","Extrinsic pb neuron",nlx_147395,"Any extrinsic neuron (FBbt_00003660) that has synaptic terminals in some protocerebral bridge (FBbt_00003668).",,,,,,,,
":Category:Facial nucleus motor neuron","Facial nucleus motor neuron",nlx_50129,"Motor neuron whose cell soma lies within the facial nucleus.",:Category:Acetylcholine,"facial nucleus motor cell,7th nerve motor neuron,VIIth nerve motor neuron",":Category:Facial nucleus",":Category:Principal neuron role,:Category:Motor role of nerve cell",:Category:Vertebrata,,,"File:Facial nucleus motor neuron.jpeg"
":Category:Fan-shaped neuron","Fan-shaped neuron",nlx_147391,"Neuron with a large arborization field that forms a quasi-horizontal strata within the fan-shaped body that fills it in both the transverse and longitudinal directions. They mostly extend caudally from the anterior margin of the fan-shaped body. This pattern makes some of them look like a fan, although the strata in most cases do not show a separation into 8 (or 16) segments. Some subtypes are specific to a single fan-shaped body layer.",,"F neuron",,,,,,
":Category:Fan-shaped neuron F1","Fan-shaped neuron F1",nlx_148215,"Any fan-shaped neuron (FBbt_00003657) that has synaptic terminals in some fan-shaped body layer 1 (FBbt_00007487).",,"fan shaped neuron F1",,,,,,
":Category:Fan-shaped neuron F2","Fan-shaped neuron F2",nlx_148216,"Any fan-shaped neuron (FBbt_00003657) that has synaptic terminals in some fan-shaped body layer 2 (FBbt_00007488).",,"fan shaped neuron F2",,,,,,
":Category:Fan-shaped neuron F3","Fan-shaped neuron F3",nlx_148217,"Any fan-shaped neuron (FBbt_00003657) that has synaptic terminals in some fan-shaped body layer 3 (FBbt_00007490).",,"fan shaped neuron F3",,,,,,
":Category:Fan-shaped neuron F4","Fan-shaped neuron F4",nlx_148218,"Any fan-shaped neuron (FBbt_00003657) that has synaptic terminals in some fan-shaped body layer 4 (FBbt_00007491).",,"fan shaped neuron F4",,,,,,
":Category:Fan-shaped neuron F5","Fan-shaped neuron F5",nlx_148219,"Any fan-shaped neuron (FBbt_00003657) that has synaptic terminals in some fan-shaped body layer 5 (FBbt_00007492).",,"fan shaped neuron F5",,,,,,
":Category:Fan-shaped neuron F6","Fan-shaped neuron F6",nlx_148211,"Any fan-shaped neuron (FBbt_00003657) that has synaptic terminals in some fan-shaped body layer 6 (FBbt_00007493).",,"fan shaped neuron F6",,,,,,
":Category:Fb-eb neuron","Fb-eb neuron",nlx_147374,"A small field neuron intrinsic to the central complex that arborizes in only the fan-shaped body and the ellipsoid body.",,,,,,,,
":Category:Fb-eb-no neuron","Fb-eb-no neuron",nlx_147375,"A small field neuron intrinsic to the central complex that arborizes in only the fan-shaped body, the ellipsoid body and the nodulus.",,,,,,,,
":Category:Fb-ltr neuron","Fb-ltr neuron",nlx_147376,"A small field neuron of the adult central complex that innervates only the fan-shaped body and the bulbs (lateral triangles).",,,,,,,,
":Category:Fb-no neuron","Fb-no neuron",nlx_147373,"Small field neuron of the central complex that has small arborizations with club-like fiber endings in the fan-shaped body and terminates with spines and blebs in the contralateral nodulus.",,"CCI (fb-no)",,,,,,
":Category:GABAergic neuron (FBbt Term)","GABAergic neuron (FBbt Term)",nlx_148043,"Any neuron (FBbt_00005106) that releases as a neurotransmitter, some gamma-aminobutyric acid (CHEBI:16865).",,"GABA-ergic neuron",,,,,,
":Category:Ganglion cell","Ganglion cell",nlx_147840,"The neuron of a ganglion.",,,,,,,,
":Category:Giant fiber neuron","Giant fiber neuron",nlx_147730,"A large, descending neuron that controls jump escape behavior (GO:0007630). Each adult has a bilaterally symmetric pair of these neurons, each with a large cell body at the posterior of the protocerebrum and a long primary neurite (GO:0070852) that branches to forms an extensive dendritic tree in the brain and an axon that projects, via the cervical connective, to the mesothorax. Targets of dendritic arborization include zone A of the antennal mechanosensory and motor center (AMMC) (Kamikouchi et al, 2009) and the inferior ventro-lateral protocerebrum. In the mesothorax, the axon forms electrical synapses with tergotrochanteral muscle motor neuron (TTMn) and peripherally synapsing interneurons (PSI)) of the mesothorax that in turn synapse to the motor neurons of the dorso-longitudinal flight muscles.",,GF,,,,,,
":Category:Giant sensillum of the dorsal radius neuron","Giant sensillum of the dorsal radius neuron",nlx_148478,"Large sensory neuron (approximately 20 by 10 micrometres) innervating the single large campaniform sensillum of the dorsal radius (Palka et al., 1979).",,,,,,,,
":Category:Gigantocellular nucleus giant neuron","Gigantocellular nucleus giant neuron",nlx_48604,,,,":Category:Nucleus gigantocellularis",,:Category:Vertebrata,,,
":Category:Globus pallidus intrinsic cell","Globus pallidus intrinsic cell",nifext_150,,,,":Category:Globus pallidus",,:Category:Vertebrata,,,
":Category:Globus pallidus principal cell","Globus pallidus principal cell",nifext_149,"Large neuron of he globus pallidus, both internal and external segment, characterized by a large and fusiform or trangular cell soma with long, thick aspiny dendrites that may extend for over 1 mm.",:Category:GABA,,":Category:Globus pallidus",":Category:Principal neuron role",:Category:Vertebrata,,,
":Category:Glutamatergic neuron (FBbt Term)","Glutamatergic neuron (FBbt Term)",nlx_148635,"Any neuron (FBbt_00005106) that releases as a neurotransmitter, some glutamic acid (CHEBI:18237).",,,,,,,,
":Category:Gracilis nucleus intrinsic cell","Gracilis nucleus intrinsic cell",nifext_95,,:Category:GABA,,":Category:Gracile nucleus",,:Category:Vertebrata,,,
":Category:Gracilis nucleus principal cell","Gracilis nucleus principal cell",nifext_94,,:Category:Glutamate,,":Category:Gracile nucleus",,:Category:Vertebrata,,,
":Category:Gravity sensitive Johnston organ neuron","Gravity sensitive Johnston organ neuron",nlx_148422,"Johnston's organ neuron (JON) that is tonically activated by aristal deflection and is necessary for normal gravitaxis behaviour. These neurons form a broad 'ring' in the medial and outer layers of the JON array (Kamikouchi et al., 2009).",,"gravity sensitive Johnston''s organ neuron",,,,,,
":Category:Great commissural interneuron","Great commissural interneuron",nlx_148108,"Any interneuron (FBbt_00005125) that fasciculates with some great commissure (FBbt_00007080).",,,,,,,,
":Category:Grid cell","Grid cell",nlx_144209,"a neuron which fires when an animal is in any point of space which corresponds to a vertex of its triangular grid firing field.",,,":Category:Entorhinal cortex",":Category:Principal neuron role",":Category:Mouse,:Category:Adult rat",,,
":Category:Gustatory receptor neuron","Gustatory receptor neuron",nlx_147910,"Any neuron (FBbt_00005106) that functions in (some) detection of chemical stimulus involved in sensory perception of taste (GO:0050912).",,GRN,,,,,,
":Category:Gustatory receptor neuron of terminal organ","Gustatory receptor neuron of terminal organ",nlx_148505,"Gustatory receptor neuron associated with the terminal organ.",,,,,,,,
":Category:Gustatory receptor neuron of the dorsal organ","Gustatory receptor neuron of the dorsal organ",nlx_148506,"Gustatory receptor neuron that innervates the dorsal organ. Projections from at least some of these neurons innervate `subesophageal ganglion area 3` (FBbt_00100141) (Colomb et al., 2007).",,,,,,,,
":Category:Gustatory receptor neuron of the epiphysis","Gustatory receptor neuron of the epiphysis",nlx_148508,"Gustatory receptor that innervates the epiphysis.",,,,,,,,
":Category:Gustatory receptor neuron of the hypopharyngeal sense organ","Gustatory receptor neuron of the hypopharyngeal sense organ",nlx_148510,"Gustatory receptor organ that innervates hypopharyngeal sense organ.",,,,,,,,
":Category:Gustatory receptor neuron of the hypophysis","Gustatory receptor neuron of the hypophysis",nlx_148509,"Gustatory receptor neuron that innervates the hypophysis.",,,,,,,,
":Category:Gustatory receptor neuron of the ventral organ","Gustatory receptor neuron of the ventral organ",nlx_148507,"Gustatory receptor neuron that innervates the ventral organ.",,,,,,,,
":Category:Head direction cell","Head direction cell",nlx_144208,"Neurons which fire when an animal's head is facing in a particular direction of horizontal plane, regardless of location, behavior or position of body",,"Head-direction cell",":Category:Postsubiculum,:Category:Anterior Thalamus,:Category:Lateral mammillary nucleus",":Category:Principal neuron role",":Category:Mouse,:Category:Adult rat",,,
":Category:Hippocampus CA1 IS-I neuron","Hippocampus CA1 IS-I neuron",nlx_cell_100209,"The IS (Interneuron-Specific) subpopulation of interneurons have axons that preferentially innervate other interneurons. The CA1 Interneuron Specific (IS) Type I cells is one of the many IS cell types from the CA1 region. The soma is located in stratum radiatum and pyramidale with dendrites spanning most layers and the axon innervating mainly calbindin positive and other calretinin positive cells (Acsady et al. 1996b; Gulyas et al. 1996). The possible expression of VIP by these cells is not known.",,"CA1 IS-I cell",":Category:CA1 stratum radiatum,:Category:CA1 stratum pyramidale",,:Category:Vertebrata,,:Category:Calretinin,"File:Hippocampus CA1 IS-I neuron.jpg"
":Category:Hippocampus CA1 IS-II neuron","Hippocampus CA1 IS-II neuron",nlx_cell_1006029,"The IS (Interneuron-Specific) subpopulation of interneurons have axons that preferentially innervate other interneurons. The CA1 Interneuron Specific (IS) type II cell is VIP+. The soma was reported mainly in stratum radiatum and the border with lacunosum-moleculare, and the dendrites are mostly in stratum lacunosum-moleculare (Acsady et al. 1996b; Gulyas et al. 1996). The axon innervates mainly CCK/VIP positive basket cells (Acsady et al. 1996b; Gulyas et al. 1996). The possible expression of calretinin by these cells is not known.",,"CA1 IS-II cell",":Category:CA1 stratum radiatum",,:Category:Vertebrata,,":Category:Vasoactive intestinal peptide",
":Category:Hippocampus CA1 IS-III neuron","Hippocampus CA1 IS-III neuron",nlx_36222,"The IS (Interneuron-Specific) subpopulation of interneurons have axons that preferentially innervate other interneurons. CA1 Interneuron Specific (IS) type III cells are VIP+, calretinin+ and terminals mGluR7a+. The soma is located mainly in stratum pyramidale and radiatum with radial dendrites crossing most layers (Acsady et al. 1996a,b). The axon innervates mainly O-LM cells (Acsady et al. 1996a; Ferraguti et al. 2004) and terminals express high level of mGluR7a in the presynaptic active zone (Somogyi et al. 2003).",,"CA1 IS-III cell",":Category:CA1 stratum radiatum,:Category:CA1 stratum pyramidale",,:Category:Vertebrata,,":Category:Vasoactive intestinal peptide,:Category:Calretinin,:Category:Terminals mGluR7a",
